skill_id,preferred_label,alt_labels,broader,related
s001,Artificial Intelligence,AI; Machine Intelligence; Cognitive Computing,AI Subfields,"Machine Learning, Deep Learning, Natural Language Processing, Computer Vision, Data Science"
s002,API,Application Programming Interface; Web API; REST API,APIs,"Web Services, Microservices, JSON, XML, SDK"
s003,Accuracy,Precision; Correctness; Error Rate,Data Analysis,"Data Quality, Statistical Significance, Validation, Reliability"
s004,Architecture,System Architecture; Software Architecture; Solution Architecture,Data Engineering,"System Design, Data Modeling, Infrastructure, Scalability"
s005,BI Tools,Business Intelligence; Data Visualization Tools; Reporting Tools,BI Tools,"Data Analysis, Data Warehousing, ETL, Reporting, Dashboards"
s006,CSS,Cascading Style Sheets; CSS3; Style Sheets,Web Technologies,"HTML, JavaScript, Frontend Development, UI Design"
s007,Chroma DB,Chroma; Chroma Vector Database; Embedding Database,Databases,"Vector Search, Embeddings, Similarity Search, FAISS, Milvus"
s008,Classification,Categorization; Taxonomy; Pattern Recognition,ML Algorithms,"Regression, Clustering, Decision Trees, Support Vector Machines"
s009,Computer Vision,Image Recognition; CV; Visual Computing,AI Subfields,"Image Processing, Object Detection, Image Segmentation, OpenCV, Deep Learning"
s010,Data Science,Data Analytics; Statistical Modeling; Predictive Analytics,AI Subfields,"Machine Learning, Data Mining, Statistics, Data Visualization, Big Data"
s011,Object Detection,Detection; Object Recognition; Instance Detection,Computer Vision Libraries,"Image Segmentation, Image Classification, YOLO, Faster R-CNN"
s012,Dynamic,Adaptable; Agile; Flexible,Soft Skills,"Adaptability, Problem Solving, Critical Thinking, Communication"
s013,Frameworks,Libraries; Toolkits; Software Frameworks,Web Frameworks,"React, Angular, Vue.js, Django, Flask"
s014,HTML,HyperText Markup Language; HTML5; Web Development,Web Technologies,"CSS, JavaScript, Web Design, Frontend Development"
s015,Images,Image Processing; Image Analysis; Digital Images,Computer Vision Libraries,"OpenCV, Image Segmentation, Object Detection"
s016,Information Science,Information Management; Data Curation; Knowledge Management,Data Engineering,"Data Science, Data Analysis, Data Mining, Databases"
s017,Java,Java Programming; Java EE; JVM,Programming Languages,"Spring, Hibernate, JSP, Object-Oriented Programming, Kotlin"
s018,JavaScript,JS; ECMAScript; Client-Side Scripting,Programming Languages,"HTML, CSS, React, Angular, Node.js"
s019,Keras,Keras API; TensorFlow Keras; Neural Networks,ML Frameworks,"TensorFlow, PyTorch, Deep Learning, Neural Networks"
s020,Large Language Models,LLMs; Transformer Models; Generative AI,NLP Libraries,"GPT, BERT, Natural Language Processing, Transformers, Text Generation"
s021,Machine Learning,ML; Statistical Learning; Predictive Modeling,ML Subfields,"Deep Learning, Data Mining, Statistical Analysis, Python, R"
s022,Matplotlib,Matplotlib Library; Data Visualization Python; Plotting Library,Data Visualization,"Seaborn, Pandas, Data Analysis, Data Visualization, Plotly"
s023,NLTK,Natural Language Toolkit; Python NLP Library; Text Processing,NLP Libraries,"SpaCy, Natural Language Processing, Text Mining, Sentiment Analysis"
s024,Numpy,NumPy; Numerical Python; Python Array Library,Data Analysis,"Pandas, Scikit-learn, Data Analysis, Linear Algebra, Mathematical Computing"
s025,OpenAI,Open AI; Generative AI; GPT Models,AI Subfields,"GPT, Large Language Models, Generative Models, AI Research"
s026,OpenCV,Open Source Computer Vision Library; CV Library; Image Processing,Computer Vision Libraries,"Image Processing, Computer Vision, Image Analysis, C++, Python"
s027,Pandas,Pandas Library; Python Data Analysis; DataFrames,Data Analysis,"Numpy, Scikit-learn, Data Analysis, Data Manipulation, Data Cleaning"
s028,Pipeline,Data Pipeline; ML Pipeline; ETL Pipeline,Data Engineering,"Dataflow, Apache Beam, Airflow, Data Integration, Workflow Automation"
s029,Platform,Software Platform; Development Platform; Cloud Platform,Web Technologies,"Cloud Computing, Infrastructure, Operating Systems, Development Tools"
s030,Python,Python Programming; Python Language; Python Scripting,Programming Languages,"Data Science, Machine Learning, Django, Flask, Numpy"
s031,Pytorch,PyTorch; Torch; Facebook AI Research,ML Frameworks,"TensorFlow, Keras, Deep Learning, Neural Networks, Computer Vision"
s032,Retrieval,Information Retrieval; Data Retrieval; Search,Data Engineering,"Search Engines, Information Extraction, Relevance Ranking, Database Querying"
s033,SQL,Structured Query Language; Database Querying; Relational Databases,Databases,"MySQL, PostgreSQL, Database Design, Data Modeling, Data Warehousing"
s034,Scikit-learn,Scikit Learn; Sklearn; Python ML Library,ML Frameworks,"Numpy, Pandas, Machine Learning, Data Science, Model Selection"
s035,Seaborn,Seaborn Library; Python Data Visualization; Statistical Graphics,Data Visualization,"Matplotlib, Pandas, Data Visualization, Statistical Analysis, Data Exploration"
s036,Segmentation,Image Segmentation; Customer Segmentation; Data Segmentation,ML Algorithms,"Clustering, Object Detection, Computer Vision, Data Mining"
s037,Semantic,Semantic Analysis; Semantic Search; Meaning,NLP Libraries,"Natural Language Processing, Knowledge Representation, Ontologies, Text Mining"
s038,Statistical Analysis,Statistical Modeling; Inferential Statistics; Hypothesis Testing,Data Analysis,"Data Analysis, Data Mining, Machine Learning, Regression Analysis, Hypothesis Testing"
s039,TensorFlow,Tensor Flow; TF; Google Brain,ML Frameworks,"Keras, PyTorch, Deep Learning, Neural Networks, GPU Computing"
s040,Transformers,Transformer Models; Attention Mechanism; Hugging Face Transformers,NLP Libraries,"BERT, GPT, Natural Language Processing, Text Generation, Language Modeling"
s041,Translation,Machine Translation; Language Translation; Text Translation,NLP Libraries,"Natural Language Processing, Language Modeling, Text Generation, Localization"
s042,Visual Consistency,Visual Design; Aesthetic Consistency; UI Design,Data Visualization,"User Interface, User Experience, Design Principles, Branding"
s043,Web,World Wide Web; Internet; Online,Web Technologies,"HTML, CSS, JavaScript, Web Development, Web Design"
s0001,AI/ML,Artificial Intelligence / Machine Learning; AI and ML; ML and AI,AI Subfields,"Deep Learning, Natural Language Processing, Computer Vision, Reinforcement Learning, Supervised Learning"
s0002,Business Intelligence,BI; Business Insights; Data Intelligence,BI Tools,"Data Analysis, Data Warehousing, SQL, Tableau, Power BI, Reporting"
s0003,Content,Content Creation; Content Development; Written Content,Communication,"Copywriting, Technical Writing, Content Strategy, SEO, Editing"
s0004,Deep Learning,Deep Neural Networks; DNNs; DL,ML Algorithms,"Neural Networks, Convolutional Neural Networks, Recurrent Neural Networks, TensorFlow, PyTorch, AI/ML"
s0005,English,English Language; Native English; Fluent English,Communication,"Communication, Writing, Verbal Communication, Presentation Skills, Interpersonal Skills"
s0006,Language,Natural Language; Human Language; Linguistic,Communication,"English, Spanish, French, Linguistics, NLP"
s0007,LinkedIn,LinkedIn Profile; LinkedIn Networking; LinkedIn Platform,Soft Skills,"Networking, Professional Branding, Social Media, Recruitment, Job Search"
s0009,Programming Languages,Programming; Coding Languages; Scripting Languages,Programming Languages,"Python, Java, JavaScript, C++, SQL, R"
s0010,Quality,Quality Assurance; Product Quality; Service Quality,Problem Solving,"Quality Control, Testing, Process Improvement, Attention to Detail, Six Sigma"
s0011,Retrieval Augmented Generation,RAG; Retrieval Augmented Generation AI; RAG Systems,AI Subfields,"Natural Language Processing, Large Language Models, Information Retrieval, Text Generation, Vector Databases"
s0012,Text Generation,Generative Text; AI Text Generation; Content Generation,AI Subfields,"Natural Language Processing, Large Language Models, Content Creation, Retrieval Augmented Generation, GPT"
s0013,Vocabulary,Word Knowledge; Lexicon; Terminology,Communication,"English, Language, Writing, Clarity, Precision"
s001,AI / ML,Artificial Intelligence / Machine Learning; AI/ML; Artificial Intelligence and Machine Learning,AI Subfields,"Deep Learning, Reinforcement Learning, Supervised Learning, Unsupervised Learning, Model Training"
s002,Content Comprehension,Content Understanding; Information Extraction; Document Understanding,NLP Libraries,"Natural Language Processing, Text Analysis, Information Retrieval, Topic Modeling, Entity Recognition"
s003,Disease Detection,Medical Diagnosis; Pathology Identification; Illness Detection,Computer Vision Libraries,"Image Recognition, Medical Imaging, Classification, Anomaly Detection, Pattern Recognition"
s004,Grammar,Grammatical Correctness; Linguistic Rules; Syntax,NLP Libraries,"Natural Language Processing, Text Generation, Language Models, Parsing, Syntax Analysis"
s005,Predictions,Forecasting; Predictive Modeling; Future State Estimation,ML Algorithms,"Regression, Time Series Analysis, Classification, Model Evaluation, Feature Engineering"
s006,Text Classification,Document Categorization; Text Labeling; Sentiment Analysis,ML Algorithms,"Natural Language Processing, Supervised Learning, Feature Extraction, Bayesian Networks, Support Vector Machines"
s001,Evaluation,Model Evaluation; Performance Evaluation; Assessment,ML Algorithms,"Accuracy, Precision, Recall, F1 Score, ROC Curve, Confusion Matrix"
s002,Learning,Machine Learning; Supervised Learning; Unsupervised Learning,ML Subfields,"Training Data, Feature Engineering, Model Training, Reinforcement Learning, Deep Learning"
s003,Models,Machine Learning Models; Statistical Models; Predictive Models,ML Algorithms,"Model Development, Model Deployment, Model Tuning, Ensemble Methods, Neural Networks"
s004,Power BI,Microsoft Power BI; Power BI Desktop; Power BI Service,BI Tools,"Data Visualization, SQL, DAX, Tableau, Excel"
s005,Text,Text Analysis; Text Mining; Text Processing,NLP Libraries,"Natural Language Processing, Sentiment Analysis, Tokenization, Stemming, Lemmatization, Regular Expressions"
s1001,Grounding,Grounding techniques; Model grounding; Contextual grounding,AI Subfields,"Large Language Models, Retrieval Augmented Generation, Knowledge Graphs, Natural Language Understanding, Fact Checking"
